"firm","year","Y","K","L","I"
1,1,20.1502727817006,7.776046531634,45.3772628062457,0.0351504909940928
2,1,31.7312600757121,10.1722315427005,7.94251130840183,0.502850269205583
3,1,26.8215911150616,6.91185565671755,140.222002852682,-0.23699848449872
4,1,56.9253576299293,10.6617252212027,41.4418130522058,0.903981455050579
5,1,23.8408849741515,7.66890514118294,196.879993337152,0.308003676615553
6,1,74.829502246965,20.4740538104687,206.003384500652,-0.0989594076541698
7,1,51.5724713100219,13.3722941696039,49.0353040066445,0.438492614391378
8,1,69.8545799109547,14.4635108604344,110.539298361617,0.564530827877489
9,1,31.8471311665152,11.6856179500795,11.462475839467,0.644978194004219
10,1,48.1974298156086,19.7795544238121,60.1168708266764,0.0934827999742026
11,1,60.5837687546631,7.7277376083685,177.774277134071,0.835092816934031
12,1,30.7432094293675,8.29293761217619,31.2059473407829,0.44941955806278
13,1,25.4181593310123,17.8736143319751,17.4855756506172,0.125719848407391
14,1,3.93559702457923,7.68100521338009,2.68672321404711,-0.854021631271228
15,1,54.7311919953333,9.19352505009831,43.3342670284372,0.669169105279075
16,1,39.3214033500244,8.52766158150853,84.5194293195083,0.246796640889049
17,1,19.2889221361851,8.7831854551716,12.6455342873292,0.311890168648597
18,1,30.1821060418998,8.92998207339859,34.3601366253728,0.611762678781354
19,1,40.4294264682438,12.2186224487888,9.74709832281248,0.470939634426821
20,1,38.2909887129963,9.30622722186002,63.3369729993664,0.656964405499139
21,1,35.6679167751481,8.1452667846056,186.56818890762,0.760180676708513
22,1,94.5240462046491,17.238417616467,422.195677274874,0.560012708182884
23,1,27.3173239844132,9.16673004435182,69.9852059959248,0.248069235229553
24,1,4.77929455007395,9.29783135310454,0.788752952171733,-0.833868492239263
25,1,31.8643652743147,9.60190237857254,65.0289324844691,0.557631875897844
26,1,52.5201872815331,13.3504008982614,57.7835906772905,0.395535097626204
27,1,20.0424373094036,9.70612659559179,15.0394690067374,-0.00543974523751706
28,1,8.6612113245008,9.84856490446813,14.1603632615339,-0.500484378423404
29,1,13.2194642037411,7.58517400555052,5.35599054495827,-0.0732265412098299
30,1,36.7263350918835,8.76796564525261,68.7233977532861,0.334064975342381
31,1,42.9143802775073,10.246929015804,37.6853452904953,0.631002663442602
32,1,7.60559504571726,7.87591151900522,2.82239584832255,0.210962077877741
33,1,31.4358209269358,12.4048590434697,24.7442619293594,0.270292886372462
34,1,23.3709028888233,5.40286448154446,81.5996672557931,0.142367890890676
35,1,12.3764179721363,11.323538464805,8.96614821137151,-0.307785387882743
36,1,14.2037451369234,5.36345469006886,30.1411534702885,-0.035621393567607
37,1,26.803928200537,8.85117107556497,61.7423416464233,0.132661290653779
38,1,16.5819574364747,8.07187683332331,21.1154634053475,0.180002681831187
39,1,43.5347554794871,7.67665121419684,24.5787409728757,0.626151718116633
40,1,34.2438915354011,9.77194411817309,20.1838240902253,0.630527386543381
41,1,16.7915510719561,4.6014852945776,30.5389506583596,0.0364023672149402
42,1,32.5543710594738,16.1133572808693,9.13974681896141,0.343035538100672
43,1,23.7144427781917,5.09111500305883,29.0087939307265,0.469544285265875
44,1,23.5779422067453,8.28659947230787,21.0427015170025,0.543240075713893
45,1,8.61919343194627,6.36057274131151,0.7092900372497,-0.0994580147761009
